SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.10042517651937821,105,4,0.3411769258428614,132468,83,57,88,45,56
0,0.24577604882964332,82,1,0.5756142863675284,319455,63,62,54,87,13
0,0.20605569696917592,230,2,0.6606694000746128,186522,21,45,64,25,15
0,0.5170306490309596,8,3,0.44424298643833315,232426,41,41,47,37,90
0,0.29512746014169233,130,1,0.23502278455183068,732726,20,9,33,83,34
0,0.8492663582886392,178,1,0.8614444310452661,579102,98,46,67,20,51
0,0.27091435324905067,39,4,0.9491296136461866,857742,96,24,31,48,74
0,0.4286325655726737,81,5,0.3532211755122311,262060,39,18,53,78,37
0,0.7225811470160447,16,3,0.20539761671085466,561857,92,35,46,94,37
0,0.9091715417626288,68,3,0.2175993532568763,382086,88,21,15,31,1
0,0.6982181411369113,203,3,0.9964365620878999,707690,67,13,86,39,99
0,0.5884169529225557,98,0,0.9994812814937531,968501,95,10,92,94,88
0,0.41463490170671813,236,3,0.9279385005248287,809713,98,16,54,89,29
0,0.30415837087292474,216,1,0.511439868188826,422369,86,76,26,71,3
0,0.629839212907563,158,4,0.1218212907089451,138336,30,10,69,13,3
0,0.9519395033370632,139,5,0.6767660843623308,757712,35,1,20,25,60
0,0.5705725631238361,152,2,0.6446614939558356,815228,83,78,67,68,10
0,0.5474262348267743,261,4,0.27730681110164845,926300,49,67,58,84,24
0,0.5496467716428252,29,5,0.3886373636763025,721423,38,20,72,84,58
0,0.8851351747632457,282,4,0.5576077054259025,667248,98,44,19,95,82
0,0.1900906809871551,70,4,0.12421108962049332,238264,70,72,76,48,61
0,0.40443248368233964,75,1,0.09779141636128463,330576,16,26,81,64,99
0,0.3264196356966119,284,3,0.7137964453516995,371305,90,2,69,77,79
0,0.5199312781412994,231,4,0.999756204939468,993561,37,97,52,85,34
0,0.9979724487383073,19,5,0.4803168522468009,999178,67,96,75,98,91
0,0.014211417876293209,259,3,0.5506875665257552,567933,18,95,60,69,85
0,0.685426687592595,14,4,0.578982958152077,954265,23,24,33,40,9
0,0.9686375172651958,5,1,0.6733243649811048,52915,34,99,86,68,82
0,0.05670061552602956,151,4,0.35494161445684747,992700,66,79,18,83,46
0,0.6728531296815227,181,2,0.7114717304851298,892530,12,14,39,88,91
0,0.30305962157283106,162,2,0.9677016549486774,680773,77,66,52,22,96
0,0.7314188678899721,241,1,0.49376464995068037,524447,22,48,25,0,14
0,0.5437000378520038,113,3,0.9334478708747448,435313,79,98,37,94,37
0,0.7001853209529428,70,0,0.25555113524991835,152261,2,24,61,4,12
0,0.23639346130968353,286,0,0.3989644527415366,521819,65,46,14,91,71
0,0.12444096967734031,225,1,0.828495615661306,372680,2,20,12,24,30
0,0.8886224649716356,257,0,0.685487167423163,319687,60,49,24,97,99
0,0.5508805670730567,41,2,0.4334936997194241,871519,48,48,35,97,84
0,0.4639616625219458,94,3,0.7613066010548745,844609,75,78,58,70,18
0,0.4350960019930622,183,3,0.07219026647473481,233540,83,75,89,4,41
0,0.2885551785084737,290,1,0.48188359564674577,329473,66,19,36,73,14
0,0.6646418404758906,144,2,0.7722278881618313,665985,5,44,67,34,97
0,0.8750763723307627,2,0,0.40192156212599395,790973,30,87,13,20,92
0,0.251066734106135,293,1,0.7863040427876776,603453,64,85,58,75,98
0,0.13367724652149982,203,0,0.3971104817236165,924551,88,60,27,86,93
0,0.11545722234149536,99,0,0.619108215281629,40220,67,91,98,21,29
0,0.18693792480851978,41,0,0.27072768506958556,261223,53,14,11,10,23
0,0.9280774638638564,254,3,0.26110462407871915,418657,51,46,66,37,33
0,0.3747421826991927,51,0,0.4505941983101788,88326,14,39,90,50,67
0,0.18577098354213872,0,4,0.07920471338666091,333850,91,84,87,24,80
0,0.7236690871646144,175,5,0.11891465855834693,924949,85,69,41,87,48
0,0.026963269576756432,285,4,0.07568447642453835,492050,48,50,62,99,34
0,0.515123164198744,223,4,0.057357693125252185,608404,53,4,84,0,4
0,0.8669415178707486,282,4,0.8617412820766102,739682,66,0,17,50,32
0,0.4987436667159937,178,2,0.07774522986449617,524126,56,96,56,93,68
0,0.8013115968001052,164,0,0.041191768690753805,259289,70,25,83,28,1
0,0.92130030608482,232,0,0.5967951450988089,318608,55,21,44,63,2
0,0.8096151418100657,112,4,0.02675069872802638,924175,73,69,36,92,14
0,0.6924865707103601,58,3,0.5546609809010946,805709,70,49,71,18,95
0,0.8506619192737012,209,0,0.12432400659672005,445730,14,8,83,37,9
0,0.6174997974288261,101,5,0.8623813667245122,936086,8,26,78,69,91
0,0.4484110587568423,204,3,0.06598258711178939,455046,97,9,21,3,77
0,0.3035243276135634,232,4,0.12814160006663733,293800,26,72,30,87,40
0,0.08584717049114954,196,3,0.9901402424940334,421890,58,56,95,74,17
0,0.8296274481357421,6,2,0.877080514666004,270583,34,50,55,22,85
0,0.02743604634823371,147,5,0.04230346210582936,123791,34,58,55,41,66
0,0.9974961348199376,268,2,0.9133693719307242,739401,53,67,65,13,12
0,0.25847659761586717,179,1,0.3941865086826515,464882,7,33,23,59,47
0,0.5885313215278417,14,1,0.15683021828616794,61447,57,6,97,16,47
0,0.26204303573387533,290,4,0.6189264823127457,657797,63,60,57,16,19
0,0.3828041100621169,101,4,0.7149812061208868,637742,20,80,27,73,75
0,0.44584788724045943,86,3,0.07669989021952517,849115,6,13,51,93,99
0,0.9941148879815483,53,5,0.951128381534212,83852,19,23,79,49,22
0,0.8709865697415232,245,1,0.6397395378777546,968894,93,84,73,90,5
0,0.37464617992761584,65,5,0.10566072294135287,663186,97,94,43,73,10
0,0.3077248765353562,5,5,0.09088563508717706,878476,65,20,86,31,18
0,0.8655097744000348,91,3,0.9555935417525253,483793,23,25,39,50,49
0,0.09870635850017806,182,5,0.9483230657635717,906901,12,66,52,67,19
0,0.36580563203956584,202,5,0.314410952560107,204015,57,97,3,31,77
0,0.3302260465331419,243,2,0.19246823343198394,785663,35,90,77,55,21
0,0.3930938205379334,111,3,0.048716189786012554,814039,55,53,18,54,26
0,0.3055181106596725,71,2,0.9011704377624592,941255,46,77,14,58,68
0,0.17830338623299236,44,1,0.35889899449678775,116778,50,87,40,49,62
0,0.1368548273052127,209,2,0.8545443920262155,530585,5,17,55,4,83
0,0.24111716576037945,95,5,0.7380799937047955,698651,58,73,52,38,57
0,0.9718246835310522,172,0,0.3939450151462206,859847,52,69,84,1,10
0,0.6319058231405569,169,0,0.9150272165350964,753101,98,72,55,59,14
0,0.6483034969603563,63,3,0.7893472936894177,233255,13,31,82,32,97
0,0.9844366721391102,144,2,0.15137582852159337,687532,54,28,9,53,57
0,0.8617106473213282,195,1,0.07240180698749787,631046,6,46,97,41,83
0,0.9382779611509409,281,3,0.9765909870493715,342297,69,72,39,95,19
0,0.7224590866273418,17,0,0.2713227954267592,831675,90,56,81,43,50
0,0.4588906757403487,3,3,0.6102880458068769,387820,58,44,38,9,73
0,0.5816656696014714,228,3,0.3896755819342277,504178,33,39,66,60,51
0,0.7650707552094347,29,5,0.5530178209646139,93608,5,14,96,20,35
0,0.02758412932603993,22,0,0.6645644223204102,384403,25,91,26,85,68
0,0.4063584040284953,269,4,0.8362055815766529,748015,54,91,50,85,47
0,0.5697638931516842,214,0,0.5959044010580282,766007,87,9,90,21,30
0,0.09197108865984649,128,1,0.21046531964110549,729193,26,70,81,92,7
0,0.002737766185750279,281,1,0.8397120756687212,29146,39,88,52,25,9
