RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.964672555,40,3,0.382964747,13700,9,3,1,0,2
0.964672555,40,3,0.382964747,13700,9,3,1,1,2
0.964672555,40,3,0.382964747,13700,9,3,1,2,2
0.964672555,40,3,0.382964747,13700,9,3,1,3,2
0.964672555,40,3,0.382964747,13700,9,3,1,4,2
0.964672555,40,3,0.382964747,13700,9,3,1,5,2
0.964672555,40,3,0.382964747,13700,9,3,1,6,2
0.964672555,40,3,0.382964747,13700,9,3,1,7,2
0.964672555,40,3,0.382964747,13700,9,3,1,8,2
0.964672555,40,3,0.382964747,13700,9,3,1,9,2
0.964672555,40,3,0.382964747,13700,9,3,1,10,2
0.964672555,40,3,0.382964747,13700,9,3,1,11,2
0.964672555,40,3,0.382964747,13700,9,3,1,12,2
0.964672555,40,3,0.382964747,13700,9,3,1,13,2
0.964672555,40,3,0.382964747,13700,9,3,1,14,2
0.964672555,40,3,0.382964747,13700,9,3,1,15,2
0.964672555,40,3,0.382964747,13700,9,3,1,16,2
0.964672555,40,3,0.382964747,13700,9,3,1,17,2
0.964672555,40,3,0.382964747,13700,9,3,1,18,2
0.964672555,40,3,0.382964747,13700,9,3,1,19,2
0.964672555,40,3,0.382964747,13700,9,3,1,20,2
0.964672555,40,3,0.382964747,13700,9,3,1,21,2
0.964672555,40,3,0.382964747,13700,9,3,1,22,2
0.964672555,40,3,0.382964747,13700,9,3,1,23,2
0.964672555,40,3,0.382964747,13700,9,3,1,24,2
0.964672555,40,3,0.382964747,13700,9,3,1,25,2
0.964672555,40,3,0.382964747,13700,9,3,1,26,2
0.964672555,40,3,0.382964747,13700,9,3,1,27,2
0.964672555,40,3,0.382964747,13700,9,3,1,28,2
0.964672555,40,3,0.382964747,13700,9,3,1,29,2
0.964672555,40,3,0.382964747,13700,9,3,1,30,2
0.964672555,40,3,0.382964747,13700,9,3,1,31,2
0.964672555,40,3,0.382964747,13700,9,3,1,32,2
0.964672555,40,3,0.382964747,13700,9,3,1,33,2
0.964672555,40,3,0.382964747,13700,9,3,1,34,2
0.964672555,40,3,0.382964747,13700,9,3,1,35,2
0.964672555,40,3,0.382964747,13700,9,3,1,36,2
0.964672555,40,3,0.382964747,13700,9,3,1,37,2
0.964672555,40,3,0.382964747,13700,9,3,1,38,2
0.964672555,40,3,0.382964747,13700,9,3,1,39,2
0.964672555,40,3,0.382964747,13700,9,3,1,40,2
0.964672555,40,3,0.382964747,13700,9,3,1,41,2
0.964672555,40,3,0.382964747,13700,9,3,1,42,2
0.964672555,40,3,0.382964747,13700,9,3,1,43,2
0.964672555,40,3,0.382964747,13700,9,3,1,44,2
0.964672555,40,3,0.382964747,13700,9,3,1,45,2
0.964672555,40,3,0.382964747,13700,9,3,1,46,2
0.964672555,40,3,0.382964747,13700,9,3,1,47,2
0.964672555,40,3,0.382964747,13700,9,3,1,48,2
0.964672555,40,3,0.382964747,13700,9,3,1,49,2
