SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.01879812,51,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,1,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,2,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,3,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,4,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,5,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,6,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,7,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,8,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,9,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,10,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,11,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,12,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,13,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,14,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,15,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,16,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,17,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,18,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,19,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,20,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,21,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,22,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,23,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,24,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,25,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,26,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,27,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,28,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,29,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,30,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,31,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,32,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,33,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,34,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,35,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,36,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,37,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,38,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,39,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,40,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,41,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,42,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,43,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,44,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,45,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,46,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,47,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,48,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,49,2,0,2
