SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.01879812,51,0,0.0,6501,7,0,2,0,2
0,0.01879812,51,0,0.010101010101010102,6501,7,0,2,0,2
0,0.01879812,51,0,0.020202020202020204,6501,7,0,2,0,2
0,0.01879812,51,0,0.030303030303030304,6501,7,0,2,0,2
0,0.01879812,51,0,0.04040404040404041,6501,7,0,2,0,2
0,0.01879812,51,0,0.05050505050505051,6501,7,0,2,0,2
0,0.01879812,51,0,0.06060606060606061,6501,7,0,2,0,2
0,0.01879812,51,0,0.07070707070707072,6501,7,0,2,0,2
0,0.01879812,51,0,0.08080808080808081,6501,7,0,2,0,2
0,0.01879812,51,0,0.09090909090909091,6501,7,0,2,0,2
0,0.01879812,51,0,0.10101010101010102,6501,7,0,2,0,2
0,0.01879812,51,0,0.11111111111111112,6501,7,0,2,0,2
0,0.01879812,51,0,0.12121212121212122,6501,7,0,2,0,2
0,0.01879812,51,0,0.13131313131313133,6501,7,0,2,0,2
0,0.01879812,51,0,0.14141414141414144,6501,7,0,2,0,2
0,0.01879812,51,0,0.15151515151515152,6501,7,0,2,0,2
0,0.01879812,51,0,0.16161616161616163,6501,7,0,2,0,2
0,0.01879812,51,0,0.17171717171717174,6501,7,0,2,0,2
0,0.01879812,51,0,0.18181818181818182,6501,7,0,2,0,2
0,0.01879812,51,0,0.19191919191919193,6501,7,0,2,0,2
0,0.01879812,51,0,0.20202020202020204,6501,7,0,2,0,2
0,0.01879812,51,0,0.21212121212121213,6501,7,0,2,0,2
0,0.01879812,51,0,0.22222222222222224,6501,7,0,2,0,2
0,0.01879812,51,0,0.23232323232323235,6501,7,0,2,0,2
0,0.01879812,51,0,0.24242424242424243,6501,7,0,2,0,2
0,0.01879812,51,0,0.25252525252525254,6501,7,0,2,0,2
0,0.01879812,51,0,0.26262626262626265,6501,7,0,2,0,2
0,0.01879812,51,0,0.27272727272727276,6501,7,0,2,0,2
0,0.01879812,51,0,0.2828282828282829,6501,7,0,2,0,2
0,0.01879812,51,0,0.29292929292929293,6501,7,0,2,0,2
0,0.01879812,51,0,0.30303030303030304,6501,7,0,2,0,2
0,0.01879812,51,0,0.31313131313131315,6501,7,0,2,0,2
0,0.01879812,51,0,0.32323232323232326,6501,7,0,2,0,2
0,0.01879812,51,0,0.33333333333333337,6501,7,0,2,0,2
0,0.01879812,51,0,0.3434343434343435,6501,7,0,2,0,2
0,0.01879812,51,0,0.3535353535353536,6501,7,0,2,0,2
0,0.01879812,51,0,0.36363636363636365,6501,7,0,2,0,2
0,0.01879812,51,0,0.37373737373737376,6501,7,0,2,0,2
0,0.01879812,51,0,0.38383838383838387,6501,7,0,2,0,2
0,0.01879812,51,0,0.393939393939394,6501,7,0,2,0,2
0,0.01879812,51,0,0.4040404040404041,6501,7,0,2,0,2
0,0.01879812,51,0,0.4141414141414142,6501,7,0,2,0,2
0,0.01879812,51,0,0.42424242424242425,6501,7,0,2,0,2
0,0.01879812,51,0,0.43434343434343436,6501,7,0,2,0,2
0,0.01879812,51,0,0.4444444444444445,6501,7,0,2,0,2
0,0.01879812,51,0,0.4545454545454546,6501,7,0,2,0,2
0,0.01879812,51,0,0.4646464646464647,6501,7,0,2,0,2
0,0.01879812,51,0,0.4747474747474748,6501,7,0,2,0,2
0,0.01879812,51,0,0.48484848484848486,6501,7,0,2,0,2
0,0.01879812,51,0,0.494949494949495,6501,7,0,2,0,2
0,0.01879812,51,0,0.5050505050505051,6501,7,0,2,0,2
0,0.01879812,51,0,0.5151515151515152,6501,7,0,2,0,2
0,0.01879812,51,0,0.5252525252525253,6501,7,0,2,0,2
0,0.01879812,51,0,0.5353535353535354,6501,7,0,2,0,2
0,0.01879812,51,0,0.5454545454545455,6501,7,0,2,0,2
0,0.01879812,51,0,0.5555555555555556,6501,7,0,2,0,2
0,0.01879812,51,0,0.5656565656565657,6501,7,0,2,0,2
0,0.01879812,51,0,0.5757575757575758,6501,7,0,2,0,2
0,0.01879812,51,0,0.5858585858585859,6501,7,0,2,0,2
0,0.01879812,51,0,0.595959595959596,6501,7,0,2,0,2
0,0.01879812,51,0,0.6060606060606061,6501,7,0,2,0,2
0,0.01879812,51,0,0.6161616161616162,6501,7,0,2,0,2
0,0.01879812,51,0,0.6262626262626263,6501,7,0,2,0,2
0,0.01879812,51,0,0.6363636363636365,6501,7,0,2,0,2
0,0.01879812,51,0,0.6464646464646465,6501,7,0,2,0,2
0,0.01879812,51,0,0.6565656565656566,6501,7,0,2,0,2
0,0.01879812,51,0,0.6666666666666667,6501,7,0,2,0,2
0,0.01879812,51,0,0.6767676767676768,6501,7,0,2,0,2
0,0.01879812,51,0,0.686868686868687,6501,7,0,2,0,2
0,0.01879812,51,0,0.696969696969697,6501,7,0,2,0,2
0,0.01879812,51,0,0.7070707070707072,6501,7,0,2,0,2
0,0.01879812,51,0,0.7171717171717172,6501,7,0,2,0,2
0,0.01879812,51,0,0.7272727272727273,6501,7,0,2,0,2
0,0.01879812,51,0,0.7373737373737375,6501,7,0,2,0,2
0,0.01879812,51,0,0.7474747474747475,6501,7,0,2,0,2
0,0.01879812,51,0,0.7575757575757577,6501,7,0,2,0,2
0,0.01879812,51,0,0.7676767676767677,6501,7,0,2,0,2
0,0.01879812,51,0,0.7777777777777778,6501,7,0,2,0,2
0,0.01879812,51,0,0.787878787878788,6501,7,0,2,0,2
0,0.01879812,51,0,0.797979797979798,6501,7,0,2,0,2
0,0.01879812,51,0,0.8080808080808082,6501,7,0,2,0,2
0,0.01879812,51,0,0.8181818181818182,6501,7,0,2,0,2
0,0.01879812,51,0,0.8282828282828284,6501,7,0,2,0,2
0,0.01879812,51,0,0.8383838383838385,6501,7,0,2,0,2
0,0.01879812,51,0,0.8484848484848485,6501,7,0,2,0,2
0,0.01879812,51,0,0.8585858585858587,6501,7,0,2,0,2
0,0.01879812,51,0,0.8686868686868687,6501,7,0,2,0,2
0,0.01879812,51,0,0.8787878787878789,6501,7,0,2,0,2
0,0.01879812,51,0,0.888888888888889,6501,7,0,2,0,2
0,0.01879812,51,0,0.8989898989898991,6501,7,0,2,0,2
0,0.01879812,51,0,0.9090909090909092,6501,7,0,2,0,2
0,0.01879812,51,0,0.9191919191919192,6501,7,0,2,0,2
0,0.01879812,51,0,0.9292929292929294,6501,7,0,2,0,2
0,0.01879812,51,0,0.9393939393939394,6501,7,0,2,0,2
0,0.01879812,51,0,0.9494949494949496,6501,7,0,2,0,2
0,0.01879812,51,0,0.9595959595959597,6501,7,0,2,0,2
0,0.01879812,51,0,0.9696969696969697,6501,7,0,2,0,2
0,0.01879812,51,0,0.9797979797979799,6501,7,0,2,0,2
0,0.01879812,51,0,0.98989898989899,6501,7,0,2,0,2
0,0.01879812,51,0,1.0,6501,7,0,2,0,2
