RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.964672555,40,3,0.382964747,13700,9,3,1,1,0
0.964672555,40,3,0.382964747,13700,9,3,1,1,1
0.964672555,40,3,0.382964747,13700,9,3,1,1,2
0.964672555,40,3,0.382964747,13700,9,3,1,1,3
0.964672555,40,3,0.382964747,13700,9,3,1,1,4
0.964672555,40,3,0.382964747,13700,9,3,1,1,5
0.964672555,40,3,0.382964747,13700,9,3,1,1,6
0.964672555,40,3,0.382964747,13700,9,3,1,1,7
0.964672555,40,3,0.382964747,13700,9,3,1,1,8
0.964672555,40,3,0.382964747,13700,9,3,1,1,9
0.964672555,40,3,0.382964747,13700,9,3,1,1,10
0.964672555,40,3,0.382964747,13700,9,3,1,1,11
0.964672555,40,3,0.382964747,13700,9,3,1,1,12
0.964672555,40,3,0.382964747,13700,9,3,1,1,13
0.964672555,40,3,0.382964747,13700,9,3,1,1,14
0.964672555,40,3,0.382964747,13700,9,3,1,1,15
0.964672555,40,3,0.382964747,13700,9,3,1,1,16
0.964672555,40,3,0.382964747,13700,9,3,1,1,17
0.964672555,40,3,0.382964747,13700,9,3,1,1,18
0.964672555,40,3,0.382964747,13700,9,3,1,1,19
