RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.964672555,40,3,0.382964747,13700,0,3,1,1,2
0.964672555,40,3,0.382964747,13700,1,3,1,1,2
0.964672555,40,3,0.382964747,13700,2,3,1,1,2
0.964672555,40,3,0.382964747,13700,3,3,1,1,2
0.964672555,40,3,0.382964747,13700,4,3,1,1,2
0.964672555,40,3,0.382964747,13700,5,3,1,1,2
0.964672555,40,3,0.382964747,13700,6,3,1,1,2
0.964672555,40,3,0.382964747,13700,7,3,1,1,2
0.964672555,40,3,0.382964747,13700,8,3,1,1,2
0.964672555,40,3,0.382964747,13700,9,3,1,1,2
0.964672555,40,3,0.382964747,13700,10,3,1,1,2
0.964672555,40,3,0.382964747,13700,11,3,1,1,2
0.964672555,40,3,0.382964747,13700,12,3,1,1,2
0.964672555,40,3,0.382964747,13700,13,3,1,1,2
0.964672555,40,3,0.382964747,13700,14,3,1,1,2
0.964672555,40,3,0.382964747,13700,15,3,1,1,2
0.964672555,40,3,0.382964747,13700,16,3,1,1,2
0.964672555,40,3,0.382964747,13700,17,3,1,1,2
0.964672555,40,3,0.382964747,13700,18,3,1,1,2
0.964672555,40,3,0.382964747,13700,19,3,1,1,2
0.964672555,40,3,0.382964747,13700,20,3,1,1,2
0.964672555,40,3,0.382964747,13700,21,3,1,1,2
0.964672555,40,3,0.382964747,13700,22,3,1,1,2
0.964672555,40,3,0.382964747,13700,23,3,1,1,2
0.964672555,40,3,0.382964747,13700,24,3,1,1,2
0.964672555,40,3,0.382964747,13700,25,3,1,1,2
0.964672555,40,3,0.382964747,13700,26,3,1,1,2
0.964672555,40,3,0.382964747,13700,27,3,1,1,2
0.964672555,40,3,0.382964747,13700,28,3,1,1,2
0.964672555,40,3,0.382964747,13700,29,3,1,1,2
0.964672555,40,3,0.382964747,13700,30,3,1,1,2
0.964672555,40,3,0.382964747,13700,31,3,1,1,2
0.964672555,40,3,0.382964747,13700,32,3,1,1,2
0.964672555,40,3,0.382964747,13700,33,3,1,1,2
0.964672555,40,3,0.382964747,13700,34,3,1,1,2
0.964672555,40,3,0.382964747,13700,35,3,1,1,2
0.964672555,40,3,0.382964747,13700,36,3,1,1,2
0.964672555,40,3,0.382964747,13700,37,3,1,1,2
0.964672555,40,3,0.382964747,13700,38,3,1,1,2
0.964672555,40,3,0.382964747,13700,39,3,1,1,2
0.964672555,40,3,0.382964747,13700,40,3,1,1,2
0.964672555,40,3,0.382964747,13700,41,3,1,1,2
0.964672555,40,3,0.382964747,13700,42,3,1,1,2
0.964672555,40,3,0.382964747,13700,43,3,1,1,2
0.964672555,40,3,0.382964747,13700,44,3,1,1,2
0.964672555,40,3,0.382964747,13700,45,3,1,1,2
0.964672555,40,3,0.382964747,13700,46,3,1,1,2
0.964672555,40,3,0.382964747,13700,47,3,1,1,2
0.964672555,40,3,0.382964747,13700,48,3,1,1,2
0.964672555,40,3,0.382964747,13700,49,3,1,1,2
