RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.964672555,40,3,0.382964747,13700,9,3,0,1,2
0.964672555,40,3,0.382964747,13700,9,3,1,1,2
0.964672555,40,3,0.382964747,13700,9,3,2,1,2
0.964672555,40,3,0.382964747,13700,9,3,3,1,2
0.964672555,40,3,0.382964747,13700,9,3,4,1,2
0.964672555,40,3,0.382964747,13700,9,3,5,1,2
0.964672555,40,3,0.382964747,13700,9,3,6,1,2
0.964672555,40,3,0.382964747,13700,9,3,7,1,2
0.964672555,40,3,0.382964747,13700,9,3,8,1,2
0.964672555,40,3,0.382964747,13700,9,3,9,1,2
0.964672555,40,3,0.382964747,13700,9,3,10,1,2
0.964672555,40,3,0.382964747,13700,9,3,11,1,2
0.964672555,40,3,0.382964747,13700,9,3,12,1,2
0.964672555,40,3,0.382964747,13700,9,3,13,1,2
0.964672555,40,3,0.382964747,13700,9,3,14,1,2
0.964672555,40,3,0.382964747,13700,9,3,15,1,2
0.964672555,40,3,0.382964747,13700,9,3,16,1,2
0.964672555,40,3,0.382964747,13700,9,3,17,1,2
0.964672555,40,3,0.382964747,13700,9,3,18,1,2
0.964672555,40,3,0.382964747,13700,9,3,19,1,2
0.964672555,40,3,0.382964747,13700,9,3,20,1,2
0.964672555,40,3,0.382964747,13700,9,3,21,1,2
0.964672555,40,3,0.382964747,13700,9,3,22,1,2
0.964672555,40,3,0.382964747,13700,9,3,23,1,2
0.964672555,40,3,0.382964747,13700,9,3,24,1,2
0.964672555,40,3,0.382964747,13700,9,3,25,1,2
0.964672555,40,3,0.382964747,13700,9,3,26,1,2
0.964672555,40,3,0.382964747,13700,9,3,27,1,2
0.964672555,40,3,0.382964747,13700,9,3,28,1,2
0.964672555,40,3,0.382964747,13700,9,3,29,1,2
0.964672555,40,3,0.382964747,13700,9,3,30,1,2
0.964672555,40,3,0.382964747,13700,9,3,31,1,2
0.964672555,40,3,0.382964747,13700,9,3,32,1,2
0.964672555,40,3,0.382964747,13700,9,3,33,1,2
0.964672555,40,3,0.382964747,13700,9,3,34,1,2
0.964672555,40,3,0.382964747,13700,9,3,35,1,2
0.964672555,40,3,0.382964747,13700,9,3,36,1,2
0.964672555,40,3,0.382964747,13700,9,3,37,1,2
0.964672555,40,3,0.382964747,13700,9,3,38,1,2
0.964672555,40,3,0.382964747,13700,9,3,39,1,2
0.964672555,40,3,0.382964747,13700,9,3,40,1,2
0.964672555,40,3,0.382964747,13700,9,3,41,1,2
0.964672555,40,3,0.382964747,13700,9,3,42,1,2
0.964672555,40,3,0.382964747,13700,9,3,43,1,2
0.964672555,40,3,0.382964747,13700,9,3,44,1,2
0.964672555,40,3,0.382964747,13700,9,3,45,1,2
0.964672555,40,3,0.382964747,13700,9,3,46,1,2
0.964672555,40,3,0.382964747,13700,9,3,47,1,2
0.964672555,40,3,0.382964747,13700,9,3,48,1,2
0.964672555,40,3,0.382964747,13700,9,3,49,1,2
