SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.01879812,10,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,11,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,12,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,13,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,14,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,15,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,16,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,17,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,18,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,19,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,20,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,21,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,22,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,23,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,24,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,25,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,26,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,27,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,28,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,29,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,30,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,31,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,32,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,33,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,34,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,35,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,36,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,37,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,38,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,39,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,40,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,41,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,42,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,43,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,44,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,45,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,46,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,47,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,48,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,49,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,50,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,51,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,52,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,53,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,54,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,55,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,56,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,57,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,58,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,59,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,60,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,61,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,62,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,63,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,64,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,65,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,66,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,67,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,68,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,69,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,70,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,71,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,72,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,73,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,74,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,75,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,76,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,77,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,78,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,79,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,80,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,81,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,82,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,83,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,84,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,85,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,86,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,87,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,88,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,89,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,90,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,91,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,92,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,93,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,94,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,95,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,96,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,97,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,98,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,99,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,100,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,101,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,102,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,103,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,104,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,105,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,106,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,107,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,108,0,0.53152876,6501,7,0,2,0,2
0,0.01879812,109,0,0.53152876,6501,7,0,2,0,2
